role,company,city,experience,education,salary,salary_lpa,skills,primary_skill,posted_days_ago,quarter,growth_rate,demand_score
Data Scientist,Genpact,Hyderabad,Junior (1-3 yrs),BCA,896300,9.0,Scikit-learn|PyTorch|TensorFlow,Scikit-learn,158,Q1 2026,28,95
BI Developer,Fractal Analytics,Chennai,Junior (1-3 yrs),B.Tech,487473,4.9,Power BI|Tableau|Azure|SSRS,Power BI,64,Q2 2026,15,80
Data Engineer,LatentView,Bangalore,Mid (3-5 yrs),BSc,1324305,13.2,ETL|Airflow|Kafka,ETL,86,Q1 2026,30,93
Data Scientist,TCS,Kolkata,Junior (1-3 yrs),BCA,667668,6.7,Deep Learning|Machine Learning|TensorFlow|SQL|Python,Deep Learning,2,Q2 2026,28,95
QA Engineer,Fractal Analytics,Pune,Mid (3-5 yrs),BCA,677536,6.8,Selenium|API Testing|Python|Manual Testing,Selenium,70,Q2 2026,10,72
QA Engineer,Zomato,Hyderabad,Mid (3-5 yrs),B.Tech,591814,5.9,API Testing|Selenium|Git|Manual Testing,API Testing,44,Q2 2026,10,72
AI/ML Researcher,Cognizant,Bangalore,Fresher (0-1 yr),BCA,878451,8.8,Generative AI|Python|Deep Learning|Research,Generative AI,50,Q2 2026,42,98
ML Engineer,Google India,Bangalore,Mid (3-5 yrs),MSc,1402797,14.0,PyTorch|AWS|MLOps|Python|CI/CD,PyTorch,46,Q2 2026,35,96
Data Scientist,PhonePe,Noida,Mid (3-5 yrs),MCA,1047661,10.5,Deep Learning|Scikit-learn|PyTorch|Python|TensorFlow,Deep Learning,42,Q2 2026,28,95
Business Analyst,Paytm,Mumbai,Junior (1-3 yrs),M.Tech,575818,5.8,Power BI|Stakeholder Management|JIRA|SQL,Power BI,134,Q1 2026,18,87
BI Developer,Zomato,Hyderabad,Fresher (0-1 yr),M.Tech,447870,4.5,DAX|Tableau|Excel,DAX,179,Q4 2025,15,80
ML Engineer,Capgemini,Bangalore,Senior (5+ yrs),BSc,2258742,22.6,CI/CD|MLOps|Docker|TensorFlow,CI/CD,35,Q2 2026,35,96
Business Analyst,PhonePe,Bangalore,Fresher (0-1 yr),MCA,421636,4.2,Stakeholder Management|Agile|Power BI|Tableau,Stakeholder Management,122,Q1 2026,18,87
Data Analyst,Cognizant,Mumbai,Junior (1-3 yrs),B.Tech,505362,5.1,SQL|Python|Tableau|Statistics|Excel,SQL,34,Q2 2026,22,92
Product Analyst,Microsoft India,Hyderabad,Fresher (0-1 yr),MSc,386609,3.9,SQL|A/B Testing|Power BI,SQL,149,Q1 2026,20,85
Data Engineer,Genpact,Bangalore,Fresher (0-1 yr),MCA,625362,6.3,Airflow|SQL|Kafka|ETL,Airflow,122,Q1 2026,30,93
ML Engineer,Google India,Bangalore,Junior (1-3 yrs),BSc,1075232,10.8,TensorFlow|CI/CD|Kubernetes|AWS|Docker,TensorFlow,17,Q2 2026,35,96
ML Engineer,Wipro,Kolkata,Junior (1-3 yrs),MCA,806416,8.1,AWS|CI/CD|Kubernetes|PyTorch|TensorFlow,AWS,67,Q2 2026,35,96
ML Engineer,TCS,Mumbai,Senior (5+ yrs),MSc,1746430,17.5,Python|TensorFlow|Kubernetes|PyTorch,Python,100,Q1 2026,35,96
ML Engineer,IBM India,Noida,Mid (3-5 yrs),MCA,1134346,11.3,AWS|Kubernetes|CI/CD|TensorFlow,AWS,61,Q2 2026,35,96
Data Engineer,EXL Service,Bangalore,Fresher (0-1 yr),BCA,615689,6.2,Hadoop|Python|AWS,Hadoop,21,Q2 2026,30,93
Product Analyst,EXL Service,Mumbai,Mid (3-5 yrs),MBA,966326,9.7,Google Analytics|Power BI|Mixpanel|Excel,Google Analytics,77,Q2 2026,20,85
BI Developer,Deloitte,Pune,Senior (5+ yrs),M.Tech,1271414,12.7,Tableau|Azure|Excel|SQL|SSRS,Tableau,86,Q1 2026,15,80
Data Analyst,Amazon India,Hyderabad,Junior (1-3 yrs),BCA,490173,4.9,SQL|Power BI|Tableau|Statistics|Python,SQL,152,Q1 2026,22,92
Data Engineer,Hexaware,Bangalore,Junior (1-3 yrs),MCA,925369,9.3,Airflow|Spark|Hadoop|SQL|Kafka,Airflow,132,Q1 2026,30,93
QA Engineer,Paytm,Bangalore,Junior (1-3 yrs),BSc,529070,5.3,Git|API Testing|Python,Git,176,Q4 2025,10,72
Data Scientist,Microsoft India,Mumbai,Mid (3-5 yrs),BCA,1149350,11.5,SQL|Scikit-learn|Deep Learning|TensorFlow,SQL,133,Q1 2026,28,95
Business Analyst,Hexaware,Mumbai,Junior (1-3 yrs),MCA,697694,7.0,Agile|Stakeholder Management|Power BI,Agile,46,Q2 2026,18,87
BI Developer,Microsoft India,Noida,Fresher (0-1 yr),M.Tech,399527,4.0,DAX|Excel|Tableau|Azure|Power BI,DAX,65,Q2 2026,15,80
QA Engineer,Google India,Bangalore,Mid (3-5 yrs),M.Tech,878194,8.8,Selenium|Python|JIRA,Selenium,126,Q1 2026,10,72
ML Engineer,PhonePe,Kolkata,Mid (3-5 yrs),BCA,952929,9.5,AWS|TensorFlow|PyTorch|Python|MLOps,AWS,160,Q1 2026,35,96
AI/ML Researcher,Razorpay,Pune,Junior (1-3 yrs),MBA,903457,9.0,Deep Learning|Mathematics|Python,Deep Learning,92,Q1 2026,42,98
Product Analyst,TCS,Kolkata,Mid (3-5 yrs),MBA,833200,8.3,A/B Testing|Mixpanel|Power BI,A/B Testing,32,Q2 2026,20,85
Product Analyst,Fractal Analytics,Gurgaon,Junior (1-3 yrs),B.Tech,656719,6.6,A/B Testing|SQL|Excel|Mixpanel|Python,A/B Testing,159,Q1 2026,20,85
Product Analyst,IBM India,Bangalore,Fresher (0-1 yr),BCA,466687,4.7,A/B Testing|Power BI|Mixpanel|Excel|SQL,A/B Testing,38,Q2 2026,20,85
Data Analyst,EXL Service,Pune,Fresher (0-1 yr),MSc,307536,3.1,Python|Statistics|Tableau|SQL,Python,41,Q2 2026,22,92
Data Analyst,Capgemini,Mumbai,Mid (3-5 yrs),B.Tech,692104,6.9,Python|Excel|R,Python,61,Q2 2026,22,92
ML Engineer,Cognizant,Bangalore,Senior (5+ yrs),MBA,2280287,22.8,Python|TensorFlow|Kubernetes,Python,78,Q2 2026,35,96
ML Engineer,Mphasis,Noida,Junior (1-3 yrs),MCA,766740,7.7,TensorFlow|AWS|Python,TensorFlow,104,Q1 2026,35,96
Product Analyst,LatentView,Hyderabad,Senior (5+ yrs),MSc,1222708,12.2,Mixpanel|Google Analytics|SQL|Power BI|A/B Testing,Mixpanel,172,Q4 2025,20,85
ML Engineer,CRED,Mumbai,Junior (1-3 yrs),B.Tech,899591,9.0,AWS|CI/CD|MLOps|Docker,AWS,52,Q2 2026,35,96
Python Developer,Paytm,Mumbai,Mid (3-5 yrs),BSc,943072,9.4,FastAPI|Git|REST APIs|Django,FastAPI,55,Q2 2026,24,89
Python Developer,IBM India,Hyderabad,Mid (3-5 yrs),MCA,807851,8.1,AWS|Python|Docker|SQL,AWS,62,Q2 2026,24,89
QA Engineer,Tiger Analytics,Bangalore,Mid (3-5 yrs),M.Tech,756936,7.6,JIRA|Git|Manual Testing|Selenium|Python,JIRA,111,Q1 2026,10,72
Product Analyst,Wipro,Gurgaon,Junior (1-3 yrs),MBA,545166,5.5,Power BI|Mixpanel|Excel,Power BI,122,Q1 2026,20,85
Business Analyst,PhonePe,Bangalore,Mid (3-5 yrs),BCA,1029317,10.3,Tableau|Excel|SQL|JIRA|Stakeholder Management,Tableau,12,Q2 2026,18,87
Product Analyst,Cognizant,Bangalore,Fresher (0-1 yr),BSc,459703,4.6,SQL|Power BI|Mixpanel|Excel|Python,SQL,38,Q2 2026,20,85
Data Scientist,Capgemini,Noida,Senior (5+ yrs),MCA,1453436,14.5,Scikit-learn|Statistics|Machine Learning,Scikit-learn,133,Q1 2026,28,95
Data Analyst,Paytm,Gurgaon,Fresher (0-1 yr),BSc,413994,4.1,Python|Power BI|Statistics|Excel|R,Python,42,Q2 2026,22,92
Data Scientist,Accenture,Noida,Mid (3-5 yrs),B.Tech,1069992,10.7,Machine Learning|Statistics|Deep Learning,Machine Learning,136,Q1 2026,28,95
Business Analyst,EXL Service,Hyderabad,Junior (1-3 yrs),MCA,626896,6.3,Agile|Excel|Stakeholder Management,Agile,2,Q2 2026,18,87
Python Developer,Capgemini,Bangalore,Junior (1-3 yrs),B.Tech,709148,7.1,Python|REST APIs|Django|Docker|AWS,Python,120,Q1 2026,24,89
Business Analyst,Mphasis,Bangalore,Mid (3-5 yrs),MBA,880334,8.8,Tableau|Power BI|JIRA|Excel|Agile,Tableau,44,Q2 2026,18,87
Product Analyst,Cognizant,Mumbai,Mid (3-5 yrs),MSc,1023381,10.2,SQL|Google Analytics|Python,SQL,0,Q2 2026,20,85
Data Scientist,Razorpay,Hyderabad,Mid (3-5 yrs),M.Tech,1314449,13.1,Scikit-learn|TensorFlow|SQL|Deep Learning|Statistics,Scikit-learn,155,Q1 2026,28,95
Data Engineer,Google India,Noida,Mid (3-5 yrs),BCA,1039892,10.4,Spark|AWS|Airflow|SQL,Spark,9,Q2 2026,30,93
Data Scientist,Microsoft India,Pune,Mid (3-5 yrs),B.Tech,1070414,10.7,Scikit-learn|SQL|Deep Learning|Statistics|TensorFlow,Scikit-learn,6,Q2 2026,28,95
Python Developer,Infosys,Bangalore,Fresher (0-1 yr),MSc,559498,5.6,FastAPI|REST APIs|SQL|Django|AWS,FastAPI,101,Q1 2026,24,89
Data Scientist,IBM India,Bangalore,Senior (5+ yrs),MBA,1715087,17.2,Scikit-learn|SQL|PyTorch|Deep Learning,Scikit-learn,95,Q1 2026,28,95
BI Developer,Flipkart,Hyderabad,Senior (5+ yrs),MCA,992343,9.9,SSRS|Power BI|DAX,SSRS,95,Q1 2026,15,80
Data Analyst,Google India,Hyderabad,Senior (5+ yrs),MSc,1107387,11.1,SQL|Statistics|Power BI|Tableau,SQL,131,Q1 2026,22,92
Data Engineer,Mphasis,Bangalore,Mid (3-5 yrs),B.Tech,1379299,13.8,Kafka|SQL|Spark|AWS,Kafka,42,Q2 2026,30,93
Data Analyst,LatentView,Bangalore,Mid (3-5 yrs),MBA,749362,7.5,SQL|Statistics|Python,SQL,161,Q1 2026,22,92
Data Engineer,Google India,Bangalore,Junior (1-3 yrs),BCA,923847,9.2,Kafka|AWS|Spark|ETL,Kafka,94,Q1 2026,30,93
Data Analyst,HCL Technologies,Hyderabad,Senior (5+ yrs),MSc,973590,9.7,Excel|Statistics|SQL|Tableau,Excel,39,Q2 2026,22,92
AI/ML Researcher,Fractal Analytics,Hyderabad,Mid (3-5 yrs),BSc,1557865,15.6,Research|LLMs|Deep Learning|PyTorch|Python,Research,23,Q2 2026,42,98
QA Engineer,IBM India,Bangalore,Fresher (0-1 yr),MBA,324235,3.2,Python|Git|Manual Testing,Python,145,Q1 2026,10,72
Business Analyst,Hexaware,Noida,Fresher (0-1 yr),BCA,379070,3.8,Power BI|Excel|SQL|Agile|JIRA,Power BI,9,Q2 2026,18,87
Data Scientist,Wipro,Hyderabad,Fresher (0-1 yr),MCA,611528,6.1,Deep Learning|Python|Scikit-learn|SQL|Statistics,Deep Learning,157,Q1 2026,28,95
Product Analyst,Razorpay,Hyderabad,Senior (5+ yrs),MBA,1233461,12.3,A/B Testing|Mixpanel|Power BI|Excel|Google Analytics,A/B Testing,39,Q2 2026,20,85
QA Engineer,PhonePe,Noida,Junior (1-3 yrs),MBA,477262,4.8,Git|Python|SQL|Selenium|API Testing,Git,123,Q1 2026,10,72
Data Scientist,Deloitte,Gurgaon,Junior (1-3 yrs),BSc,857589,8.6,Python|TensorFlow|Statistics|PyTorch,Python,27,Q2 2026,28,95
BI Developer,Mphasis,Pune,Mid (3-5 yrs),MCA,886286,8.9,SQL|Power BI|Excel|DAX,SQL,105,Q1 2026,15,80
Product Analyst,Amazon India,Hyderabad,Junior (1-3 yrs),MCA,610728,6.1,A/B Testing|Google Analytics|SQL,A/B Testing,80,Q1 2026,20,85
AI/ML Researcher,Google India,Bangalore,Mid (3-5 yrs),MCA,1627661,16.3,Generative AI|Python|LLMs|PyTorch,Generative AI,30,Q2 2026,42,98
Python Developer,Razorpay,Hyderabad,Senior (5+ yrs),M.Tech,1176155,11.8,REST APIs|AWS|Git|Django|FastAPI,REST APIs,62,Q2 2026,24,89
QA Engineer,Cognizant,Bangalore,Junior (1-3 yrs),BCA,638916,6.4,Git|Selenium|SQL|API Testing,Git,21,Q2 2026,10,72
Product Analyst,Zomato,Bangalore,Junior (1-3 yrs),B.Tech,842785,8.4,Excel|Python|SQL|A/B Testing|Mixpanel,Excel,45,Q2 2026,20,85
Data Analyst,WNS Global,Bangalore,Junior (1-3 yrs),BSc,621313,6.2,Power BI|Tableau|Statistics|SQL|Excel,Power BI,42,Q2 2026,22,92
BI Developer,TCS,Bangalore,Senior (5+ yrs),B.Tech,1428313,14.3,Excel|Power BI|SQL,Excel,43,Q2 2026,15,80
BI Developer,Razorpay,Noida,Fresher (0-1 yr),BCA,377576,3.8,Excel|Azure|Power BI|DAX,Excel,35,Q2 2026,15,80
Data Analyst,Capgemini,Pune,Fresher (0-1 yr),MSc,374263,3.7,Statistics|SQL|Excel|Python|Power BI,Statistics,72,Q2 2026,22,92
Data Analyst,Fractal Analytics,Noida,Fresher (0-1 yr),M.Tech,299275,3.0,Power BI|Statistics|R|Tableau,Power BI,167,Q1 2026,22,92
Product Analyst,Genpact,Hyderabad,Senior (5+ yrs),MSc,1414604,14.1,Excel|Power BI|Python|A/B Testing,Excel,118,Q1 2026,20,85
Business Analyst,Wipro,Bangalore,Fresher (0-1 yr),B.Tech,407446,4.1,SQL|JIRA|Excel,SQL,38,Q2 2026,18,87
Product Analyst,Amazon India,Bangalore,Mid (3-5 yrs),BCA,1123973,11.2,Excel|Google Analytics|Mixpanel,Excel,104,Q1 2026,20,85
Business Analyst,Fractal Analytics,Pune,Junior (1-3 yrs),BCA,634311,6.3,Stakeholder Management|Excel|JIRA|SQL,Stakeholder Management,93,Q1 2026,18,87
Business Analyst,Wipro,Bangalore,Fresher (0-1 yr),MSc,500056,5.0,JIRA|Excel|Tableau|Agile,JIRA,168,Q1 2026,18,87
AI/ML Researcher,Mphasis,Mumbai,Junior (1-3 yrs),MCA,986878,9.9,Research|Mathematics|Generative AI|LLMs,Research,145,Q1 2026,42,98
BI Developer,Mphasis,Bangalore,Mid (3-5 yrs),MBA,846622,8.5,Power BI|Tableau|DAX|SQL,Power BI,10,Q2 2026,15,80
BI Developer,Paytm,Bangalore,Junior (1-3 yrs),MBA,606705,6.1,SSRS|SQL|Tableau,SSRS,9,Q2 2026,15,80
Product Analyst,Tiger Analytics,Pune,Junior (1-3 yrs),BCA,596872,6.0,Power BI|SQL|Excel|Google Analytics,Power BI,128,Q1 2026,20,85
Data Scientist,Fractal Analytics,Bangalore,Mid (3-5 yrs),BSc,1058351,10.6,TensorFlow|Deep Learning|SQL|Scikit-learn|Machine Learning,TensorFlow,111,Q1 2026,28,95
Product Analyst,TCS,Mumbai,Junior (1-3 yrs),BSc,808534,8.1,A/B Testing|Power BI|Mixpanel|Google Analytics|SQL,A/B Testing,72,Q2 2026,20,85
Python Developer,Mu Sigma,Hyderabad,Senior (5+ yrs),B.Tech,1359067,13.6,Git|REST APIs|SQL|Docker,Git,59,Q2 2026,24,89
AI/ML Researcher,IBM India,Noida,Junior (1-3 yrs),MBA,945450,9.5,Mathematics|Python|Deep Learning|LLMs|PyTorch,Mathematics,67,Q2 2026,42,98
Data Analyst,IBM India,Bangalore,Senior (5+ yrs),M.Tech,1145814,11.5,Excel|SQL|R,Excel,12,Q2 2026,22,92
AI/ML Researcher,Capgemini,Noida,Junior (1-3 yrs),BCA,994442,9.9,Python|PyTorch|LLMs|Mathematics,Python,127,Q1 2026,42,98
AI/ML Researcher,Fractal Analytics,Bangalore,Junior (1-3 yrs),MSc,1268008,12.7,Mathematics|Deep Learning|Generative AI,Mathematics,143,Q1 2026,42,98
Product Analyst,Mu Sigma,Bangalore,Fresher (0-1 yr),BSc,508391,5.1,SQL|Power BI|Python|Google Analytics,SQL,5,Q2 2026,20,85
Data Analyst,LatentView,Gurgaon,Junior (1-3 yrs),BSc,609329,6.1,Tableau|Power BI|Excel|Python,Tableau,109,Q1 2026,22,92
Data Scientist,HCL Technologies,Bangalore,Mid (3-5 yrs),MBA,1230516,12.3,Machine Learning|Python|Deep Learning|Scikit-learn,Machine Learning,0,Q2 2026,28,95
AI/ML Researcher,EXL Service,Bangalore,Mid (3-5 yrs),MBA,1968886,19.7,Python|Generative AI|LLMs,Python,31,Q2 2026,42,98
Data Engineer,Zomato,Noida,Junior (1-3 yrs),B.Tech,802680,8.0,AWS|Hadoop|Python|Spark,AWS,23,Q2 2026,30,93
Python Developer,Accenture,Hyderabad,Junior (1-3 yrs),MBA,620241,6.2,Python|SQL|AWS|Docker|Django,Python,37,Q2 2026,24,89
Python Developer,Tiger Analytics,Hyderabad,Junior (1-3 yrs),M.Tech,790075,7.9,Docker|Python|FastAPI|REST APIs|SQL,Docker,26,Q2 2026,24,89
BI Developer,Google India,Mumbai,Fresher (0-1 yr),MCA,377223,3.8,SSRS|Tableau|Excel|Power BI|DAX,SSRS,58,Q2 2026,15,80
BI Developer,EXL Service,Gurgaon,Junior (1-3 yrs),MSc,636220,6.4,Tableau|DAX|SSRS|SQL,Tableau,10,Q2 2026,15,80
Data Analyst,PhonePe,Bangalore,Junior (1-3 yrs),BSc,587964,5.9,Tableau|Power BI|Excel|SQL,Tableau,80,Q1 2026,22,92
BI Developer,WNS Global,Bangalore,Fresher (0-1 yr),BCA,512390,5.1,Azure|Power BI|Excel|SQL|Tableau,Azure,126,Q1 2026,15,80
Data Engineer,EXL Service,Pune,Junior (1-3 yrs),BCA,832227,8.3,Kafka|SQL|Spark,Kafka,137,Q1 2026,30,93
BI Developer,Mphasis,Bangalore,Fresher (0-1 yr),MBA,501225,5.0,SQL|SSRS|DAX|Tableau|Power BI,SQL,71,Q2 2026,15,80
Python Developer,Wipro,Hyderabad,Senior (5+ yrs),MBA,1466716,14.7,AWS|FastAPI|Docker,AWS,76,Q2 2026,24,89
ML Engineer,Deloitte,Bangalore,Junior (1-3 yrs),BSc,968117,9.7,PyTorch|Docker|AWS,PyTorch,153,Q1 2026,35,96
BI Developer,HCL Technologies,Hyderabad,Senior (5+ yrs),MSc,1000628,10.0,DAX|Power BI|SQL|Excel,DAX,149,Q1 2026,15,80
BI Developer,Capgemini,Bangalore,Junior (1-3 yrs),MSc,638231,6.4,Azure|Excel|Power BI|DAX|Tableau,Azure,168,Q1 2026,15,80
Data Scientist,EXL Service,Gurgaon,Senior (5+ yrs),MBA,1341055,13.4,Machine Learning|PyTorch|Statistics|Scikit-learn,Machine Learning,13,Q2 2026,28,95
Business Analyst,PhonePe,Bangalore,Fresher (0-1 yr),M.Tech,497858,5.0,JIRA|Power BI|Tableau,JIRA,138,Q1 2026,18,87
Business Analyst,Zomato,Bangalore,Senior (5+ yrs),MCA,1246354,12.5,Power BI|Excel|Stakeholder Management,Power BI,166,Q1 2026,18,87
AI/ML Researcher,HCL Technologies,Mumbai,Mid (3-5 yrs),B.Tech,1874172,18.7,Deep Learning|Research|Mathematics|PyTorch,Deep Learning,174,Q4 2025,42,98
Data Engineer,Infosys,Kolkata,Mid (3-5 yrs),MBA,956764,9.6,Airflow|ETL|AWS|SQL|Python,Airflow,110,Q1 2026,30,93
Data Scientist,Accenture,Pune,Mid (3-5 yrs),MBA,1165290,11.7,Statistics|SQL|TensorFlow|Scikit-learn,Statistics,148,Q1 2026,28,95
Data Scientist,Mphasis,Bangalore,Senior (5+ yrs),BSc,1517913,15.2,TensorFlow|PyTorch|Deep Learning|SQL,TensorFlow,0,Q2 2026,28,95
AI/ML Researcher,Accenture,Hyderabad,Mid (3-5 yrs),BSc,1729285,17.3,PyTorch|Deep Learning|Mathematics,PyTorch,30,Q2 2026,42,98
AI/ML Researcher,Tiger Analytics,Bangalore,Fresher (0-1 yr),MCA,964470,9.6,Python|Research|Mathematics|Generative AI|PyTorch,Python,55,Q2 2026,42,98
Data Scientist,Infosys,Bangalore,Mid (3-5 yrs),BSc,1226351,12.3,Python|SQL|Deep Learning,Python,87,Q1 2026,28,95
Data Scientist,LatentView,Bangalore,Mid (3-5 yrs),B.Tech,1276485,12.8,PyTorch|SQL|Scikit-learn|TensorFlow,PyTorch,174,Q4 2025,28,95
Data Scientist,Mphasis,Pune,Mid (3-5 yrs),MCA,1144619,11.4,PyTorch|Machine Learning|Deep Learning|Scikit-learn,PyTorch,125,Q1 2026,28,95
ML Engineer,TCS,Bangalore,Junior (1-3 yrs),M.Tech,922127,9.2,PyTorch|Python|AWS|MLOps,PyTorch,134,Q1 2026,35,96
Data Scientist,Hexaware,Hyderabad,Junior (1-3 yrs),MBA,818666,8.2,Statistics|SQL|Python|Scikit-learn,Statistics,135,Q1 2026,28,95
Data Analyst,Deloitte,Hyderabad,Mid (3-5 yrs),M.Tech,742891,7.4,Tableau|Power BI|Excel,Tableau,99,Q1 2026,22,92
Data Scientist,Swiggy,Hyderabad,Senior (5+ yrs),B.Tech,1393415,13.9,Deep Learning|SQL|Machine Learning,Deep Learning,141,Q1 2026,28,95
Data Engineer,HCL Technologies,Gurgaon,Junior (1-3 yrs),MBA,720276,7.2,AWS|Kafka|Python|Spark|ETL,AWS,103,Q1 2026,30,93
Data Analyst,Hexaware,Pune,Fresher (0-1 yr),MBA,306156,3.1,R|Python|Statistics|Tableau,R,160,Q1 2026,22,92
ML Engineer,Tech Mahindra,Hyderabad,Senior (5+ yrs),MBA,1537885,15.4,AWS|Docker|PyTorch|Python|MLOps,AWS,49,Q2 2026,35,96
Business Analyst,LatentView,Mumbai,Mid (3-5 yrs),MBA,781734,7.8,Tableau|Power BI|Agile|Excel|Stakeholder Management,Tableau,102,Q1 2026,18,87
QA Engineer,PhonePe,Chennai,Junior (1-3 yrs),B.Tech,506745,5.1,Manual Testing|API Testing|Python|SQL,Manual Testing,83,Q1 2026,10,72
Data Analyst,Razorpay,Bangalore,Mid (3-5 yrs),BCA,857060,8.6,Excel|Python|R|SQL,Excel,176,Q4 2025,22,92
Data Analyst,Tech Mahindra,Pune,Fresher (0-1 yr),MSc,416229,4.2,Python|Excel|Tableau,Python,136,Q1 2026,22,92
AI/ML Researcher,Fractal Analytics,Bangalore,Senior (5+ yrs),BCA,2320434,23.2,Research|Deep Learning|Mathematics|PyTorch,Research,55,Q2 2026,42,98
Python Developer,Infosys,Bangalore,Senior (5+ yrs),M.Tech,1367727,13.7,SQL|Docker|AWS,SQL,115,Q1 2026,24,89
BI Developer,IBM India,Bangalore,Mid (3-5 yrs),B.Tech,909541,9.1,Azure|Excel|SSRS|SQL,Azure,11,Q2 2026,15,80
ML Engineer,Cognizant,Bangalore,Mid (3-5 yrs),BSc,1396828,14.0,Python|AWS|MLOps|TensorFlow|Kubernetes,Python,84,Q1 2026,35,96
Business Analyst,IBM India,Hyderabad,Senior (5+ yrs),MBA,1039366,10.4,JIRA|Stakeholder Management|Power BI,JIRA,91,Q1 2026,18,87
Product Analyst,Cognizant,Pune,Fresher (0-1 yr),B.Tech,451652,4.5,A/B Testing|SQL|Power BI|Python|Excel,A/B Testing,40,Q2 2026,20,85
Data Scientist,Cognizant,Bangalore,Fresher (0-1 yr),MCA,556177,5.6,Statistics|Deep Learning|SQL,Statistics,15,Q2 2026,28,95
QA Engineer,Tech Mahindra,Bangalore,Fresher (0-1 yr),BSc,391376,3.9,Python|JIRA|SQL|Manual Testing|Selenium,Python,176,Q4 2025,10,72
Data Analyst,Razorpay,Gurgaon,Junior (1-3 yrs),MCA,560336,5.6,SQL|Statistics|Python|Excel,SQL,27,Q2 2026,22,92
Data Analyst,Wipro,Bangalore,Fresher (0-1 yr),B.Tech,371331,3.7,Python|Tableau|R|Power BI,Python,133,Q1 2026,22,92
Product Analyst,CRED,Gurgaon,Senior (5+ yrs),BCA,1053610,10.5,Power BI|Google Analytics|Python|A/B Testing|Excel,Power BI,108,Q1 2026,20,85
Business Analyst,Swiggy,Noida,Junior (1-3 yrs),MBA,614651,6.1,Excel|Stakeholder Management|SQL|Tableau|JIRA,Excel,75,Q2 2026,18,87
Python Developer,Wipro,Pune,Senior (5+ yrs),B.Tech,1228482,12.3,FastAPI|Python|Django|SQL|Git,FastAPI,143,Q1 2026,24,89
ML Engineer,PhonePe,Gurgaon,Mid (3-5 yrs),MSc,1053132,10.5,Python|Docker|TensorFlow,Python,137,Q1 2026,35,96
BI Developer,IBM India,Noida,Senior (5+ yrs),BCA,1235047,12.4,Excel|Power BI|SQL|SSRS|Azure,Excel,134,Q1 2026,15,80
Data Engineer,Amazon India,Bangalore,Junior (1-3 yrs),MSc,736556,7.4,Python|Airflow|Hadoop,Python,52,Q2 2026,30,93
Business Analyst,Tiger Analytics,Noida,Mid (3-5 yrs),BCA,822570,8.2,Agile|JIRA|SQL,Agile,108,Q1 2026,18,87
Product Analyst,LatentView,Pune,Mid (3-5 yrs),M.Tech,1004204,10.0,Excel|Power BI|Mixpanel,Excel,7,Q2 2026,20,85
Data Analyst,Infosys,Bangalore,Mid (3-5 yrs),BSc,767745,7.7,R|Tableau|SQL,R,21,Q2 2026,22,92
Python Developer,Genpact,Mumbai,Mid (3-5 yrs),B.Tech,870994,8.7,REST APIs|AWS|Python,REST APIs,112,Q1 2026,24,89
Product Analyst,Microsoft India,Pune,Fresher (0-1 yr),BSc,375218,3.8,A/B Testing|SQL|Python|Power BI|Mixpanel,A/B Testing,97,Q1 2026,20,85
QA Engineer,CRED,Noida,Mid (3-5 yrs),MSc,579520,5.8,JIRA|Python|Selenium|SQL,JIRA,153,Q1 2026,10,72
QA Engineer,Deloitte,Pune,Junior (1-3 yrs),MSc,402593,4.0,Python|Git|JIRA,Python,128,Q1 2026,10,72
QA Engineer,Google India,Bangalore,Junior (1-3 yrs),BCA,582828,5.8,Manual Testing|Selenium|SQL|API Testing,Manual Testing,0,Q2 2026,10,72
QA Engineer,Google India,Gurgaon,Junior (1-3 yrs),MBA,404516,4.0,JIRA|SQL|API Testing,JIRA,70,Q2 2026,10,72
Data Engineer,PhonePe,Hyderabad,Fresher (0-1 yr),M.Tech,546334,5.5,AWS|ETL|SQL,AWS,82,Q1 2026,30,93
Python Developer,Deloitte,Bangalore,Mid (3-5 yrs),MSc,1213230,12.1,Git|Docker|Python|SQL|AWS,Git,160,Q1 2026,24,89
ML Engineer,IBM India,Hyderabad,Junior (1-3 yrs),MSc,1048637,10.5,CI/CD|Docker|PyTorch|Python|TensorFlow,CI/CD,32,Q2 2026,35,96
Data Analyst,TCS,Bangalore,Senior (5+ yrs),MSc,1234314,12.3,Power BI|Statistics|SQL|Tableau,Power BI,66,Q2 2026,22,92
QA Engineer,Mphasis,Bangalore,Mid (3-5 yrs),BCA,702289,7.0,Manual Testing|Python|API Testing|SQL,Manual Testing,96,Q1 2026,10,72
Product Analyst,Mu Sigma,Bangalore,Fresher (0-1 yr),MBA,527077,5.3,Python|Excel|SQL,Python,36,Q2 2026,20,85
QA Engineer,Deloitte,Pune,Mid (3-5 yrs),BCA,646788,6.5,SQL|Git|JIRA|Manual Testing|Python,SQL,40,Q2 2026,10,72
Data Analyst,EXL Service,Gurgaon,Mid (3-5 yrs),MBA,714377,7.1,Tableau|Statistics|Excel|Python|SQL,Tableau,79,Q2 2026,22,92
AI/ML Researcher,Swiggy,Bangalore,Senior (5+ yrs),MSc,2075673,20.8,LLMs|Research|Generative AI|Deep Learning,LLMs,90,Q1 2026,42,98
AI/ML Researcher,Deloitte,Hyderabad,Senior (5+ yrs),B.Tech,2454929,24.5,Generative AI|Deep Learning|LLMs,Generative AI,87,Q1 2026,42,98
